,Regions,p-value,Effect Size
0,Heschl_R,2.891956579747198e-57,0.21641798894526673
1,Temporal_Sup_R,2.7130328164853375e-54,0.2081389530174267
2,Rolandic_Oper_L,2.544730420770163e-53,0.2112172412876027
3,Calcarine_L,9.170463186254485e-53,0.22961971374039367
4,Frontal_Med_Orb_R,1.1289983063974963e-50,0.21761172666954567
5,Lingual_R,2.6228489564637385e-49,0.26246517440466055
6,Cingulum_Post_L,4.144483022248726e-49,0.2873525363737129
7,Temporal_Mid_R,5.506391705012959e-47,0.32639877977270465
8,Lingual_L,8.934754493189487e-46,0.22621526835548092
9,Frontal_Med_Orb_L,1.1637724831430832e-44,0.18616751941577886
10,Caudate_L,9.819925100259121e-42,0.17892160668574314
11,Occipital_Mid_L,1.1249676639247639e-39,0.20278430126607302
12,Occipital_Inf_R,6.939590339369032e-39,0.22660658830951416
13,Cingulum_Ant_R,5.956165840023922e-37,0.18769265731531862
14,Cingulum_Ant_L,9.20711407550903e-34,0.16705252069554852
15,Temporal_Mid_L,1.0282277687351095e-33,0.17463277582580872
16,Temporal_Pole_Sup_L,3.7441526585009997e-32,0.13090367989526505
17,Occipital_Inf_L,4.2901791156352217e-32,0.16828479549968017
18,Insula_L,1.2604898633915677e-31,0.155001173168599
19,Frontal_Inf_Orb_R,9.416259653409915e-31,0.16497799511370778
20,Calcarine_R,1.4069343395070257e-29,0.21063942793050966
21,Precuneus_L,1.70397028532293e-28,0.17237089666356858
22,Temporal_Pole_Mid_R,8.367284555559294e-26,0.16840219791402375
23,Temporal_Pole_Mid_L,1.4814999064685042e-24,0.116018702578747
24,Frontal_Mid_L,1.9164707138705052e-24,0.11119015909854248
25,Frontal_Inf_Orb_L,2.5316304905341697e-24,0.12061941406784171
26,Cerebelum_7b_R,5.512887046731861e-23,0.12199746003279015
27,Putamen_L,5.224248581877402e-22,0.1501761889390052
28,Postcentral_L,7.917495554891299e-21,0.1646421077003702
29,Cerebelum_9_L,2.2417525343056757e-20,0.11782246957952322
30,Frontal_Sup_Orb_R,5.040069478143456e-20,0.09757753339159857
31,Thalamus_R,3.543535005901441e-19,0.16442228388590927
32,Temporal_Pole_Sup_R,3.1020475364396847e-18,0.11141456536061568
33,Parietal_Inf_R,7.359956737520046e-18,0.09876066641870489
34,Cuneus_L,3.1854723895590174e-17,0.10810627614242668
35,Insula_R,3.4273224729324683e-17,0.12190055786838333
36,Frontal_Sup_Medial_R,2.6953219634355127e-16,0.09634180442741129
37,Occipital_Sup_R,7.421728330120081e-16,0.09024028029462451
38,Cerebelum_3_L,8.829259049737511e-16,0.08526014035953881
39,Precuneus_R,9.173311787729149e-16,0.09965695010822812
40,Cuneus_R,2.786284466990305e-15,0.10980321849379887
41,Frontal_Inf_Oper_L,1.8749887514323458e-14,0.08423838165697452
42,Cingulum_Mid_L,1.958449573453596e-14,0.11408841265224391
43,Rolandic_Oper_R,2.0649152955186557e-14,0.09316008598304465
44,Vermis_4_5,2.4583800291032685e-14,0.07681654371601726
45,Amygdala_R,1.1245241423046662e-13,0.09949623033835397
46,Occipital_Mid_R,1.427712195901659e-13,0.10028772346808362
47,SupraMarginal_R,4.944378404162705e-13,0.06854101377387153
48,Hippocampus_L,5.1983124369956614e-12,0.10787530772581672
49,Temporal_Inf_L,1.513156904270982e-10,0.0904466070158272
50,Angular_R,1.1095842462412529e-08,0.054837198559056055
51,Temporal_Inf_R,1.6762382513525322e-08,0.08259423152140258
52,Frontal_Mid_Orb_R,2.292152271496066e-08,0.04835004771595345
53,Frontal_Inf_Tri_L,8.360408732205229e-08,-0.052282896516374404
54,Occipital_Sup_L,1.832507129046798e-07,0.056528991886442496
55,Temporal_Sup_L,2.2449396811649746e-07,0.05352462250776907
56,Vermis_1_2,8.300613338140146e-07,0.04220601243282434
57,ParaHippocampal_R,7.541113810386926e-06,-0.07806480667812453
58,Olfactory_L,2.1953316962021196e-05,0.04124573735502152
59,Olfactory_R,9.012376046285506e-05,0.047558640528000296
60,Supp_Motor_Area_L,0.00016054601882397164,0.045401196623102665
61,Angular_L,0.00047504494860235876,0.02622650708047213
