,p-value,t-value
Putamen_R,1.274967246209521e-26,11.36755407525032
ParaHippocampal_R,3.2923886581214947e-25,11.002345867842056
Angular_L,1.1767444608525433e-22,10.323379248603676
Amygdala_L,1.4779578639332689e-22,10.29652113369198
ParaHippocampal_L,3.952467979549204e-21,9.904276926277271
Insula_R,2.494703258021987e-20,9.680018529119804
Temporal_Sup_L,4.266471309483217e-19,9.327653455910161
Frontal_Inf_Oper_R,5.513724563423582e-19,9.295393640445841
Hippocampus_R,5.671520731397197e-19,9.291839610908532
Angular_R,7.367853287650294e-19,9.258838000249591
Amygdala_R,1.4669302994790232e-18,9.171608655305146
Occipital_Mid_R,3.785268028585742e-18,9.050607806231271
Caudate_R,4.749592075233451e-17,8.72216077154093
Parietal_Inf_L,8.759905020367958e-16,8.332649038266194
SupraMarginal_R,1.4881762421150396e-14,7.941202367435992
Cerebelum_4_5_R,2.1929591224601746e-14,7.886527937515093
Rolandic_Oper_R,2.8291264594947928e-14,7.850454884131794
Frontal_Inf_Tri_L,1.0158636107381564e-13,7.667524337178454
Temporal_Pole_Mid_L,1.4898525436093932e-13,7.612091666303395
Heschl_L,1.5746949162841473e-13,7.604049427598788
Frontal_Mid_Orb_R,1.5834426753447117e-12,7.262969988109573
Vermis_3,1.5941865452347013e-12,7.261952919314909
Occipital_Sup_L,1.9707459304953755e-12,7.230004426154913
Parietal_Inf_R,4.509192826860119e-12,7.1042471456912
Insula_L,4.68031454499181e-12,7.098547818234528
Hippocampus_L,5.798464729514119e-12,7.065699278371184
Temporal_Inf_R,7.1663613168210176e-12,7.033106024599437
Olfactory_L,4.59870483403705e-11,6.741832084472381
Cuneus_L,7.13697073059746e-11,6.671521105556631
Temporal_Sup_R,9.264179325612241e-11,6.629512275886068
Calcarine_L,1.0000307550415017e-10,6.617159626725408
Postcentral_L,1.1472612380992983e-10,6.59492465239367
Frontal_Inf_Tri_R,1.954802449094045e-10,6.50808498845518
Occipital_Sup_R,6.394943127552458e-10,6.311568529499965
Temporal_Pole_Sup_L,8.560303994291492e-10,6.262463396717437
Cingulum_Ant_R,2.207310490792447e-09,6.100789875770847
Cuneus_R,2.6115386236054544e-09,6.071726197502249
Temporal_Inf_L,3.1529918083598897e-09,6.039029289788752
Frontal_Inf_Orb_L,4.556748899170554e-09,5.974705472630231
Temporal_Pole_Sup_R,7.865901698847215e-09,5.878302001891332
Cingulum_Mid_L,1.3583021272526927e-08,5.780532735946061
Heschl_R,1.944734121677772e-08,5.715561908731475
Precuneus_R,8.293917463944509e-08,5.446576878256626
Vermis_1_2,1.5119410189345725e-07,5.331972258721254
Frontal_Sup_Orb_R,5.572509856858242e-07,5.075686854184976
Thalamus_R,6.462727239607587e-07,5.0458885028271485
Vermis_4_5,6.474059719337611e-07,5.045535375020876
Olfactory_R,9.211035817375233e-07,4.974042203290022
Temporal_Pole_Mid_R,1.0197918634261323e-06,4.953245510665978
Cerebelum_3_L,1.0298446472227124e-06,4.951237341058092
Frontal_Inf_Oper_L,1.2264395516691722e-06,4.915357163727695
Rolandic_Oper_L,2.2282643555413374e-06,4.791042621218463
Caudate_L,2.332023957752822e-06,4.781456554944797
Occipital_Mid_L,2.4650753506620986e-06,4.769748389606511
Lingual_R,2.8580826245028283e-06,4.7384157801085225
Cingulum_Ant_L,2.8951526656183035e-06,4.735678035126068
Lingual_L,4.177601116704942e-06,4.657212313665463
Occipital_Inf_L,6.7250745926412255e-06,4.553655525381842
Precuneus_L,7.225808762741868e-06,4.537863638001335
Frontal_Sup_Medial_R,8.364181502361448e-06,4.505550251258471
Cerebelum_7b_R,1.5334467764416857e-05,4.369546924256328
Cingulum_Post_L,1.741363249179009e-05,4.340565932133772
Putamen_L,2.9609481041811833e-05,4.217777488294551
Temporal_Mid_L,3.264942928055163e-05,4.194843525837775
Supp_Motor_Area_L,6.0116001208577656e-05,4.049144502745663
Frontal_Med_Orb_R,8.048848163214448e-05,3.977917767206035
Temporal_Mid_R,9.432400941034827e-05,3.938753015597337
Frontal_Mid_L,9.618906992078511e-05,3.9338959917660627
Calcarine_R,0.0001007161979731221,3.922467673768316
Cerebelum_9_L,0.00010821429032255737,3.904568456235917
Frontal_Med_Orb_L,0.0001415047152632271,3.8370937400295007
Frontal_Inf_Orb_R,0.0001912268647920563,3.760139521364197
Occipital_Inf_R,0.0004288008769386802,3.546960438567068
